上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:110/03/05
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","18.49","-0.04 ","18.28","18.55","18.25","18.39","47,270","869,063","40","18.52","1","18.55","5","14,446,000","18.49","20.33","16.65"
"00679B","元大美債20年","39.10","-0.40 ","39.30","39.30","39.08","39.16","712,665","27,909,417","590","39.09","17","39.10","17","197,692,000","39.10","9999.95","0.01"
"00687B","國泰20年美債","41.01","-0.38 ","41.13","41.13","40.90","40.95","182,041","7,455,050","80","40.95","20","41.02","1","69,287,000","41.01","9999.95","0.01"
"00694B","富邦美債1-3","37.51","+0.14","37.40","37.51","37.40","37.46","131,132","4,912,791","10","37.40","50","37.51","29","177,576,000","37.51","9999.95","0.01"
"00695B","富邦美債7-10","37.02","-0.14 ","37.00","37.07","36.96","37.04","1,383,422","51,241,947","36","37.02","6","37.05","15","15,686,000","37.02","9999.95","0.01"
"00696B","富邦美債20年","41.10","-0.38 ","41.10","41.15","40.98","41.01","328,956","13,490,292","117","41.05","1","41.10","2","544,681,000","41.10","9999.95","0.01"
"00697B","元大美債7-10","39.22","-0.20 ","39.30","39.30","39.20","39.22","212,449","8,333,251","24","39.22","20","39.27","7","7,212,000","39.22","9999.95","0.01"
"00718B","富邦中國政策債","19.25","+0.03","19.24","19.26","19.24","19.25","329,200","6,336,860","30","19.25","20","19.26","50","1,157,501,000","19.25","9999.95","0.01"
"00719B","元大美債1-3","30.18","+0.06","30.12","30.18","30.11","30.16","133,000","4,011,710","6","30.12","1","30.21","25","708,014,000","30.18","9999.95","0.01"
"00720B","元大投資級公司債","41.75","-0.46 ","41.94","41.94","41.67","41.77","909,501","37,990,770","367","41.74","6","41.75","55","699,609,000","41.75","9999.95","0.01"
"00721B","元大中國債3-5","44.27","+0.02","44.34","44.34","44.27","44.31","177,000","7,842,790","4","44.24","21","44.40","20","406,622,000","44.27","9999.95","0.01"
"00722B","群益15年IG電信債","43.55","-0.65 ","43.71","43.71","43.54","43.58","138,000","6,014,020","26","43.56","2","43.63","50","748,239,000","43.55","9999.95","0.01"
"00723B","群益15年IG科技債","40.32","-0.54 ","40.32","40.33","40.32","40.33","104,000","4,194,290","8","40.35","1","40.37","1","793,583,000","40.32","9999.95","0.01"
"00724B","群益10年IG金融債","40.27","-0.50 ","40.70","40.70","40.26","40.28","154,221","6,211,917","54","40.26","7","40.29","50","1,533,775,000","40.27","9999.95","0.01"
"00725B","國泰投資級公司債","41.90","-0.47 ","42.00","42.05","41.90","41.94","207,000","8,680,850","36","41.87","11","41.91","84","882,206,000","41.90","9999.95","0.01"
"00726B","國泰5Y+新興債","41.09","-0.26 ","41.18","41.18","41.05","41.12","168,000","6,908,480","14","41.09","13","41.17","8","1,075,489,000","41.09","9999.95","0.01"
"00727B","國泰1-5Y高收債","37.69","0.00 ","37.73","37.74","37.60","37.69","150,000","5,654,180","20","37.61","3","37.72","13","112,689,000","37.69","9999.95","0.01"
"00734B","台新JPM新興債","19.36","-0.06 ","19.38","19.52","19.36","19.40","1,027,100","19,924,770","72","19.36","85","19.37","1","22,479,000","19.36","9999.95","0.01"
"00740B","富邦全球投等債","45.08","-0.48 ","45.12","45.20","45.08","45.10","130,373","5,879,335","32","45.07","4","45.11","100","574,471,000","45.08","9999.95","0.01"
"00741B","富邦全球高收債","37.28","+0.04","37.28","37.29","37.28","37.28","102,080","3,806,039","7","37.24","3","37.30","5","11,128,000","37.28","9999.95","0.01"
"00744B","國泰中國政金債5+","40.87","+0.22","40.78","40.87","40.78","40.87","101,000","4,127,780","3","40.83","12","40.87","3","751,228,000","40.87","9999.95","0.01"
"00745B","富邦中政債0-1","40.01","+0.09","40.01","40.01","40.01","40.01","100,000","4,001,000","4","39.85","10","40.10","10","4,016,000","40.01","9999.95","0.01"
"00746B","富邦A級公司債","42.67","-0.31 ","42.74","42.74","42.63","42.69","128,040","5,466,212","20","42.66","11","42.70","9","896,464,000","42.67","9999.95","0.01"
"00747B","FH中國政策債","50.40","+0.10","50.45","50.45","50.40","50.45","104,800","5,286,920","5","50.40","14","50.50","14","684,000,000","50.40","9999.95","0.01"
"00748B","凱基中國債3-10","40.85","+0.01","40.85","40.85","40.85","40.85","100,000","4,085,000","2","40.73","11","40.89","16","618,500,000","40.85","9999.95","0.01"
"00749B","凱基新興債10+","41.85","-0.31 ","41.85","41.85","41.85","41.85","100,000","4,185,000","2","41.79","10","41.90","100","769,500,000","41.85","9999.95","0.01"
"00750B","凱基科技債10+","41.92","-0.38 ","41.92","41.92","41.92","41.92","100,000","4,192,000","2","41.92","5","41.96","100","136,000,000","41.92","9999.95","0.01"
"00751B","元大AAA至A公司債","42.38","-0.46 ","42.60","42.60","42.33","42.39","409,347","17,351,337","240","42.35","4","42.40","1","1,104,103,000","42.38","9999.95","0.01"
"00754B","群益AAA-AA公司債","42.73","-0.73 ","43.46","43.46","42.73","42.85","120,110","5,147,158","17","42.77","1","42.91","5","181,900,000","42.73","9999.95","0.01"
"00755B","群益15年IG公用債","41.56","-0.49 ","41.98","41.98","41.50","41.61","152,196","6,332,641","64","41.50","4","41.56","49","123,730,000","41.56","9999.95","0.01"
"00756B","群益15年EM主權債","42.55","-0.65 ","42.59","42.59","42.55","42.59","103,025","4,387,722","14","42.55","1","42.63","36","890,800,000","42.55","9999.95","0.01"
"00758B","FH能源債","58.65","-0.30 ","58.65","58.65","58.65","58.65","100,000","5,865,000","2","58.40","10","58.75","21","5,525,000","58.65","9999.95","0.01"
"00759B","FH製藥債","66.80","-0.50 ","66.80","66.80","66.80","66.80","100,000","6,680,000","2","66.60","1","66.90","10","54,025,000","66.80","9999.95","0.01"
"00760B","FH新興企業債","63.00","-0.50 ","63.05","63.05","63.00","63.04","124,000","7,817,050","9","62.95","10","63.05","10","311,520,000","63.00","9999.95","0.01"
"00761B","國泰A級公司債","43.61","-0.45 ","43.73","43.73","43.60","43.64","183,000","7,986,530","17","43.62","10","43.64","20","1,089,589,000","43.61","9999.95","0.01"
"00764B","群益25年美債","40.82","-0.53 ","41.28","41.28","40.80","40.83","129,000","5,266,650","11","40.84","20","40.91","15","89,000,000","40.82","9999.95","0.01"
"00765B","群益中國政金債","39.54","+0.18","39.54","39.54","39.54","39.54","100,000","3,954,000","2","39.47","20","39.56","20","3,000,000","39.54","9999.95","0.01"
"00768B","FH20年美債","65.25","-0.50 ","65.25","65.25","65.25","65.25","100,000","6,525,000","2","65.25","10","65.40","100","4,100,000","65.25","9999.95","0.01"
"00772B","中信高評級公司債","42.69","-0.27 ","42.96","42.96","42.68","42.74","450,370","19,250,329","144","42.67","1","42.69","21","1,290,290,000","42.69","9999.95","0.01"
"00773B","中信優先金融債","43.08","-0.52 ","43.30","43.30","43.00","43.04","261,117","11,239,158","56","43.03","1","43.08","19","783,290,000","43.08","9999.95","0.01"
"00777B","凱基AAA至A公司債","41.84","-0.26 ","41.78","41.84","41.78","41.78","105,000","4,387,200","5","41.75","1","41.84","15","527,650,000","41.84","9999.95","0.01"
"00778B","凱基金融債20+","43.16","-0.51 ","43.12","43.16","43.12","43.12","101,000","4,355,160","5","43.09","10","43.16","37","465,650,000","43.16","9999.95","0.01"
"00779B","凱基美債25+","40.98","-0.79 ","41.05","41.05","40.98","41.01","202,000","8,283,100","10","40.98","7","41.13","4","16,650,000","40.98","9999.95","0.01"
