上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:110/03/08
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","18.57","+0.08","18.70","18.77","18.57","18.68","78,120","1,459,506","64","18.56","1","18.57","9","14,446,000","18.57","20.42","16.72"
"00679B","元大美債20年","39.46","+0.36","39.40","39.48","39.19","39.33","286,633","11,274,083","222","39.45","11","39.46","12","180,192,000","39.46","9999.95","0.01"
"00687B","國泰20年美債","41.44","+0.43","41.18","41.44","41.17","41.33","216,052","8,928,693","50","41.44","3","41.45","2","69,287,000","41.44","9999.95","0.01"
"00694B","富邦美債1-3","37.70","+0.19","37.51","37.70","37.49","37.66","130,001","4,895,557","27","37.65","1","37.70","15","177,576,000","37.70","9999.95","0.01"
"00695B","富邦美債7-10","37.15","+0.13","37.02","37.22","37.00","37.19","205,787","7,653,361","58","37.12","1","37.15","7","14,186,000","37.15","9999.95","0.01"
"00696B","富邦美債20年","41.56","+0.46","41.31","41.56","41.20","41.45","355,790","14,748,862","107","41.55","3","41.57","2","544,681,000","41.56","9999.95","0.01"
"00697B","元大美債7-10","39.42","+0.20","39.26","39.42","39.20","39.40","220,513","8,687,657","30","39.39","20","39.44","3","7,212,000","39.42","9999.95","0.01"
"00718B","富邦中國政策債","19.24","-0.01 ","19.24","19.25","19.22","19.24","259,348","4,989,820","61","19.24","1","19.25","6","1,157,501,000","19.24","9999.95","0.01"
"00719B","元大美債1-3","30.29","+0.11","30.29","30.35","30.29","30.35","103,000","3,125,870","5","30.29","23","30.38","25","706,514,000","30.29","9999.95","0.01"
"00720B","元大投資級公司債","41.72","-0.03 ","41.65","41.72","41.57","41.63","330,363","13,752,481","72","41.70","1","41.72","114","699,609,000","41.72","9999.95","0.01"
"00721B","元大中國債3-5","44.33","+0.06","44.29","44.33","44.29","44.32","179,405","7,950,811","16","44.25","21","44.33","3","406,622,000","44.33","9999.95","0.01"
"00722B","群益15年IG電信債","43.97","+0.42","44.34","44.34","43.75","43.85","124,647","5,465,776","24","43.82","1","43.97","49","748,239,000","43.97","9999.95","0.01"
