上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:110/03/04
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","18.53","-0.41 ","18.90","18.90","18.53","18.75","81,588","1,529,373","56","18.56","3","18.65","1","14,446,000","18.53","20.38","16.68"
"00679B","元大美債20年","39.50","-0.39 ","39.75","39.75","39.36","39.43","525,504","20,723,216","440","39.48","2","39.50","125","217,692,000","39.50","9999.95","0.01"
"00687B","國泰20年美債","41.39","-0.51 ","41.90","41.90","41.20","41.32","256,043","10,580,823","58","41.32","2","41.39","51","69,287,000","41.39","9999.95","0.01"
"00694B","富邦美債1-3","37.37","-0.04 ","37.38","37.38","37.32","37.37","111,317","4,159,651","15","37.32","16","37.38","2","177,576,000","37.37","9999.95","0.01"
"00695B","富邦美債7-10","37.16","-0.22 ","37.20","37.21","37.09","37.16","110,873","4,120,118","17","37.18","3","37.23","40","15,686,000","37.16","9999.95","0.01"
"00696B","富邦美債20年","41.48","-0.39 ","41.34","41.48","41.30","41.43","250,735","10,387,894","58","41.46","2","41.49","58","544,681,000","41.48","9999.95","0.01"
"00697B","元大美債7-10","39.42","-0.25 ","39.43","39.43","39.37","39.40","231,000","9,102,010","20","39.38","1","39.46","40","7,212,000","39.42","9999.95","0.01"
"00718B","富邦中國政策債","19.22","-0.04 ","19.25","19.25","19.22","19.24","230,000","4,425,200","14","19.23","2","19.25","30","1,157,501,000","19.22","9999.95","0.01"
"00719B","元大美債1-3","30.12","0.00 ","30.10","30.12","30.09","30.11","140,000","4,215,350","13","30.10","1","30.14","25","708,014,000","30.12","9999.95","0.01"
"00720B","元大投資級公司債","42.21","-0.51 ","42.43","42.43","42.16","42.22","336,070","14,187,581","81","42.20","7","42.21","94","699,609,000","42.21","9999.95","0.01"
"00721B","元大中國債3-5","44.25","-0.06 ","44.31","44.31","44.25","44.25","201,198","8,903,080","8","44.18","2","44.28","20","406,622,000","44.25","9999.95","0.01"
"00722B","群益15年IG電信債","44.20","-0.64 ","44.29","44.29","44.05","44.16","118,510","5,233,812","22","44.10","4","44.21","5","748,239,000","44.20","9999.95","0.01"
"00723B","群益15年IG科技債","40.86","-0.60 ","40.86","40.86","40.86","40.86","101,000","4,126,860","5","40.86","3","40.94","5","793,583,000","40.86","9999.95","0.01"
"00724B","群益10年IG金融債","40.77","-0.60 ","41.35","41.35","40.70","40.77","118,000","4,810,810","20","40.79","1","40.87","100","1,546,275,000","40.77","9999.95","0.01"
"00725B","國泰投資級公司債","42.37","-0.43 ","42.49","42.49","42.25","42.27","112,000","4,734,430","8","42.30","12","42.39","12","882,206,000","42.37","9999.95","0.01"
"00726B","國泰5Y+新興債","41.35","-0.25 ","41.40","41.40","41.35","41.40","101,000","4,181,350","3","41.35","2","41.45","11","1,075,489,000","41.35","9999.95","0.01"
"00727B","國泰1-5Y高收債","37.69","-0.07 ","37.69","37.70","37.67","37.68","136,000","5,124,680","14","37.68","3","37.70","10","124,689,000","37.69","9999.95","0.01"
"00734B","台新JPM新興債","19.42","-0.20 ","19.62","19.65","19.42","19.52","1,380,000","26,936,800","303","19.42","81","19.48","2","22,479,000","19.42","9999.95","0.01"
"00740B","富邦全球投等債","45.56","-0.47 ","45.52","45.56","45.52","45.54","100,224","4,564,124","6","45.54","3","45.64","100","574,971,000","45.56","9999.95","0.01"
"00741B","富邦全球高收債","37.24","-0.02 ","37.24","37.24","37.24","37.24","100,441","3,740,424","6","37.16","9","37.27","2","14,128,000","37.24","9999.95","0.01"
"00744B","國泰中國政金債5+","40.65","-0.13 ","40.70","40.70","40.65","40.70","102,000","4,151,350","4","40.64","10","40.70","1","751,228,000","40.65","9999.95","0.01"
"00745B","富邦中政債0-1","39.92","-0.08 ","39.92","39.92","39.92","39.92","100,000","3,992,000","4","39.79","10","40.03","10","4,016,000","39.92","9999.95","0.01"
"00746B","富邦A級公司債","42.98","-0.42 ","42.99","43.00","42.90","42.96","112,000","4,811,530","11","42.93","10","42.98","3","896,464,000","42.98","9999.95","0.01"
"00747B","FH中國政策債","50.30","0.00 ","50.30","50.30","50.30","50.30","100,000","5,030,000","2","50.25","9","50.35","5","684,000,000","50.30","9999.95","0.01"
"00748B","凱基中國債3-10","40.84","+0.04","40.84","40.84","40.84","40.84","100,000","4,084,000","2","40.70","11","40.86","11","618,500,000","40.84","9999.95","0.01"
"00749B","凱基新興債10+","42.16","-0.29 ","42.16","42.16","42.16","42.16","100,000","4,216,000","2","42.09","10","42.23","10","769,500,000","42.16","9999.95","0.01"
"00750B","凱基科技債10+","42.30","-0.50 ","42.30","42.30","42.30","42.30","100,000","4,230,000","2","42.25","11","42.39","11","136,000,000","42.30","9999.95","0.01"
"00751B","元大AAA至A公司債","42.84","-0.63 ","43.37","43.37","42.83","42.89","482,750","20,703,791","190","42.84","9","42.89","38","1,115,603,000","42.84","9999.95","0.01"
"00754B","群益AAA-AA公司債","43.46","-0.63 ","43.50","43.50","43.46","43.46","101,036","4,391,093","6","43.46","1","43.54","5","181,900,000","43.46","9999.95","0.01"
"00755B","群益15年IG公用債","42.05","-0.67 ","42.72","42.72","42.01","42.05","111,100","4,672,252","21","42.05","4","42.13","50","123,730,000","42.05","9999.95","0.01"
"00756B","群益15年EM主權債","43.20","-0.43 ","43.10","43.20","43.10","43.12","103,319","4,454,837","16","43.08","1","43.20","1","890,800,000","43.20","9999.95","0.01"
"00758B","FH能源債","58.95","-0.60 ","58.95","58.95","58.95","58.95","100,000","5,895,000","2","58.85","18","59.10","29","5,525,000","58.95","9999.95","0.01"
"00759B","FH製藥債","67.30","-0.85 ","67.40","67.40","67.30","67.30","101,000","6,797,400","3","67.30","1","67.40","8","54,025,000","67.30","9999.95","0.01"
"00760B","FH新興企業債","63.50","-0.55 ","63.55","63.55","63.50","63.50","114,000","7,239,550","7","63.40","10","63.60","3","311,520,000","63.50","9999.95","0.01"
"00761B","國泰A級公司債","44.06","-0.55 ","44.06","44.06","44.06","44.06","100,000","4,406,000","2","44.10","10","44.14","12","1,089,589,000","44.06","9999.95","0.01"
"00764B","群益25年美債","41.35","-0.33 ","41.17","41.35","41.16","41.30","109,024","4,502,742","8","41.28","1","41.35","13","89,000,000","41.35","9999.95","0.01"
"00765B","群益中國政金債","39.36","+0.01","39.36","39.36","39.36","39.36","100,000","3,936,000","2","39.31","27","39.39","40","3,000,000","39.36","9999.95","0.01"
"00768B","FH20年美債","65.75","-0.95 ","65.90","65.90","65.75","65.75","101,000","6,640,900","3","65.75","10","65.95","10","4,100,000","65.75","9999.95","0.01"
"00772B","中信高評級公司債","42.96","-0.58 ","43.54","43.54","42.90","43.01","873,828","37,582,044","186","42.96","1","42.98","14","1,290,290,000","42.96","9999.95","0.01"
"00773B","中信優先金融債","43.60","-0.72 ","44.33","44.33","43.50","43.68","314,947","13,758,108","57","43.61","5","43.70","3","810,290,000","43.60","9999.95","0.01"
"00777B","凱基AAA至A公司債","42.10","-0.57 ","42.10","42.10","42.10","42.10","100,000","4,210,000","4","42.14","11","42.20","20","527,650,000","42.10","9999.95","0.01"
"00778B","凱基金融債20+","43.67","-0.55 ","43.67","43.67","43.67","43.67","100,000","4,367,000","2","43.67","10","43.81","40","465,650,000","43.67","9999.95","0.01"
"00779B","凱基美債25+","41.77","-0.66 ","41.77","41.77","41.77","41.77","101,000","4,218,770","3","41.76","10","41.90","10","32,150,000","41.77","9999.95","0.01"
"00780B","國泰A級金融債","40.35","-0.30 ","40.38","40.38","40.35","40.35","101,000","4,075,380","3","40.28","10","40.40","10","249,602,000","40.35","9999.95","0.01"
"00781B","國泰A級科技債","41.56","-0.69 ","41.56","41.56","41.56","41.56","100,000","4,156,000","2","41.62","12","41.70","10","8,336,000","41.56","9999.95","0.01"
"00782B","國泰A級公用債","41.03","-0.27 ","41.30","41.30","41.03","41.03","102,000","4,185,330","4","40.98","1","41.09","25","7,967,000","41.03","9999.95","0.01"
"00784B","富邦中國投等債","37.40","-0.15 ","37.40","37.40","37.40","37.40","100,000","3,740,000","4","37.32","11","37.44","20","2,993,000","37.40","9999.95","0.01"
"00785B","富邦金融投等債","41.86","-0.39 ","41.89","41.89","41.86","41.87","100,000","4,186,750","4","41.78","11","41.87","20","337,966,000","41.86","9999.95","0.01"
"00786B","元大10年IG銀行債","40.44","-0.12 ","40.46","40.46","40.44","40.44","205,000","8,290,240","5","40.40","6","40.48","27","8,066,000","40.44","9999.95","0.01"
"00787B","元大10年IG醫療債","41.69","-0.22 ","41.91","41.91","41.63","41.81","9,000","376,260","8","41.67","2","41.77","44","10,306,000","41.69","9999.95","0.01"
"00788B","元大10年IG電能債","39.47","-0.18 ","39.52","39.52","39.40","39.44","16,000","631,100","7","39.41","1","39.47","43","11,206,000","39.47","9999.95","0.01"
"00789B","FH公司債A3","62.85","-0.50 ","62.85","62.85","62.85","62.85","100,000","6,285,000","2","62.35","9","62.80","5","58,100,000","62.85","9999.95","0.01"
"00790B","FH次順位IG金融債","62.35","-0.80 ","62.35","62.35","62.35","62.35","100,000","6,235,000","2","62.25","9","62.65","9","2,100,000","62.35","9999.95","0.01"
"00791B","FH美元信用債1-5Y","55.90","0.00 ","55.90","55.90","55.90","55.90","102,000","5,701,800","5","55.85","2","56.15","4","355,100,000","55.90","9999.95","0.01"
"00792B","群益A級公司債","41.05","-0.57 ","41.06","41.06","41.02","41.06","103,000","4,229,100","7","41.07","10","41.18","20","398,115,000","41.05","9999.95","0.01"
"00793B","群益AAA-A醫療債","40.50","-0.33 ","40.48","40.50","40.45","40.49","104,000","4,210,910","5","40.48","14","40.61","15","2,526,000","40.50","9999.95","0.01"
"00794B","群益7+中國政金債","38.75","-0.18 ","38.75","38.75","38.75","38.75","100,000","3,875,000","2","38.68","1","38.80","14","185,687,000","38.75","9999.95","0.01"
"00795B","中信美國公債20年","39.82","-0.36 ","40.07","40.07","39.60","39.71","236,000","9,370,780","30","39.82","2","39.87","20","227,098,000","39.82","9999.95","0.01"
"00796B","中信中國債7-10","38.40","-0.08 ","38.36","38.40","38.36","38.40","101,000","3,878,360","5","38.36","1","38.43","11","81,970,000","38.40","9999.95","0.01"
"00799B","國泰A級醫療債","40.09","-0.26 ","40.05","40.09","40.05","40.09","102,000","4,089,140","4","40.09","1","40.16","18","8,036,000","40.09","9999.95","0.01"
"00831B","新光美債1-3","36.60","-0.05 ","36.60","36.60","36.60","36.60","50,000","1,830,000","2","36.46","5","36.65","2","133,600,000","36.60","9999.95","0.01"
"00832B","新光美債20+","40.86","-0.48 ","40.86","40.86","40.86","40.86","50,000","2,043,000","2","40.94","5","41.03","5","5,300,000","40.86","9999.95","0.01"
