代號,證券商名稱,地址,subBroderId,MainBroder,valid
1020,合庫,台北市大安區忠孝東路四段325號2樓,合庫,Y,N
1021,合庫,台中市西區民權路91號6樓,台中,N,N
1022,合庫,台南市北區成功路48號3樓,台南,N,N
1023,合庫,高雄市大勇路97號5樓,高雄,N,N
1024,合庫,嘉義市國華街279號2樓,嘉義,N,N
1025,合庫,基隆市仁二路255號3樓,基隆,N,N
1028,合庫,彰化縣彰化市民生路279號5樓,彰化,N,N
1029,合庫,高雄市鳳山區鳳松路3號,鳳松,N,N
102A,合庫,新竹市東區東門街60號5樓,竹塹,N,N
102C,合庫,台北市中山區南京東路2段85、87號3樓,自強,N,N
102E,合庫,桃園縣桃園市中華路12號3樓,東桃園,N,N
1030,土銀,台北市延平南路八十一號,土銀,Y,N
1031,土銀,台中市自由路2段1號4樓,台中,N,N
1032,土銀,台南市中正路26號4樓,台南,N,N
1033,土銀,高雄市大勇路131號,高雄,N,N
1034,土銀,嘉義市中山路309號3樓,嘉義,N,N
1035,土銀,新竹市中央路1號4、5樓,新竹,N,N
1036,土銀,花蓮縣玉里鎮中山路二段五十五號一、二樓,玉里,N,N
1037,土銀,花蓮縣花蓮市中山路356號3樓,花蓮,N,N
1038,土銀,台北市和平東路3段15號3樓部分,和平,N,N
1039,土銀,台北市中山北路五段六八九號三樓,士林,N,N
103A,土銀,高雄市建國一路458號3樓,建國,N,N
103B,土銀,彰化市光復路九十八號六樓,彰化,N,N
103C,土銀,台南縣白河鎮三民路三九五號三樓,白河,N,N
103D,土銀,新竹縣湖口鄉中正路1段102號3樓,湖口,N,N
103F,土銀,台北市南港區南港路1段364號5樓,南港,N,N
1040,臺銀證券,台北市重慶南路1段58號4樓、5樓部分,臺銀證券,Y,N
1041,臺銀,鳳山市曹公路20號3樓,鳳山,N,Y
1042,臺銀,臺南市中正路240號4樓,臺南,N,Y
1043,臺銀,臺北市承德路2段239號3樓,民權,N,Y
1045,臺銀,新竹市林森路29號5樓,新竹,N,Y
104A,臺銀,台中市民權路95號3樓,臺中,N,Y
104C,臺銀,高雄市苓雅區成功一路261號3樓,高雄,N,Y
104D,臺銀,台北市金山南路2段189號3樓,金山,N,Y
1090,台灣工銀,"台北市內湖區堤頂大道2段99號5,6,7樓部份",台灣工銀,Y,N
1091,台灣工銀,台中市北區中清路一段100號5樓,台中,N,N
