日期,收盤,漲跌,開盤,最高,最低,日盛證券 ,瑞士信貸 ,新加坡商瑞銀 ,元大證券 ,港商野村 ,台灣摩根士丹利 ,統一-新竹 ,美林 ,群益金鼎-竹南 ,凱基-信義 ,花旗環球 ,統一 ,元大-東港 ,臺銀-民權 ,元大-永春 ,永豐金-中壢 ,國票-中港 ,群益金鼎-大甲 ,凱基-台北 ,中國信託 ,土銀 ,彰銀-台中 ,新光 ,群益金鼎-松山 ,元大-雙和 ,凱基-高雄 ,富邦-民生 ,凱基-台南 ,永豐金-古亭 ,永豐金-竹科 ,元富 ,摩根大通 ,國泰-高雄 ,凱基 ,香港上海匯豐 ,台新證券 ,美商高盛 ,元大-大天母 ,統一-敦南 ,群益金鼎 ,合庫證券 ,玉山證券 ,兆豐-埔墘 ,日盛-雙和 ,永豐金-桃盛 ,大慶-富順 ,宏遠證券 ,群益金鼎-宜蘭 ,富邦-新竹華信 ,元大-南京 ,元大-文心興安 ,國泰證券 ,群益金鼎-忠孝 ,富邦證券 ,日盛-員林 ,第一金-高雄 ,富邦-台北 ,永豐金-內湖 ,富邦-左營 ,兆豐-竹北 ,元大-新竹經國 ,中國信託-嘉義 ,兆豐-中壢 ,元大-大益 ,元大-太平 ,康和 ,群益金鼎-海山 ,富邦-仁愛 ,永豐金-萬盛 ,群益金鼎-大安 ,元富-文心 ,港商麥格理 ,永豐金-信義 ,統一-城中 ,群益金鼎-台北 ,元富-中壢 ,統一-中壢 ,新光-桃園 ,日盛-木柵 ,統一-三重 ,台灣企銀-台南 ,第一金-路竹 ,統一-桃園 ,統一-松江 ,凱基-復興 ,元大-大同 ,玉山-高雄 ,華南永昌-中正 ,大展 ,永豐金-竹北 ,元富-高雄 ,群益金鼎-高雄 ,兆豐證券 ,凱基-永華 ,元大-北成功 ,富邦-竹東 ,臺銀 ,華南永昌 ,日盛-板橋 ,永豐金證券 ,康和-台北 ,元大-成功 ,國票 ,大昌-新竹 ,玉山-桃園 ,凱基-台東 ,元大-前金 ,元大-四維 ,華南永昌-林口 ,玉山-新竹 ,日盛-頭份 ,元大-楊梅 ,日盛-樹林 ,統一-基隆 ,凱基-市府 ,兆豐-忠孝 ,統一-彰化 ,群益金鼎-三民 ,元大-南投 ,大和國泰 ,元大-土城永寧 ,元大-北三重 ,國泰-板橋 ,元大-內湖 ,群益金鼎-台南 ,元富-大裕 ,元大-東蘆 ,凱基-中山 ,國泰-館前 ,日盛-復興 ,富邦-園區 ,港商法國興業 ,元富-宜蘭 ,宏遠-民生 ,兆豐-南京 ,新光-台中 ,國票-敦北法人 ,康和-石牌 ,元大-龍潭 ,國票-嘉義 ,元富-西松 ,國泰-台中 ,永豐金-三重 ,第一金-中壢 ,(牛牛牛)亞證券 ,台灣企銀 ,法銀巴黎 ,日盛-景美 ,台新-左楠 ,元大-林園 ,康和-仁愛 ,元大-館前 ,兆豐-鹿港 ,凱基-林口 ,第一金-自由 ,宏遠-新化 ,日盛-台南 ,元大-善化 ,永豐金-新店 ,康和-延平 ,國泰-桃園 ,台灣企銀-岡山 ,富邦-羅東 ,富邦-中壢 ,元大-松山 ,群益金鼎-敦南 ,寶盛 ,元大-天母 ,兆豐-寶成 ,永豐金-豐原 ,元大-忠孝鼎富 ,聯邦-興中 
1100302,441.5,-18.0,475.0,477.0,441.5,201,-270,146,-233,92,-194,70,-128,58,-100,41,-92,40,-50,32,-46,31,-40,31,-32,29,-31,27,-31,26,-30,25,-29,25,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100303,454.0,12.5,442.0,454.0,435.0,201,-270,172,822,43,-134,70,-89,58,-100,41,-92,40,-50,32,-46,31,-40,31,-32,-1,-31,27,-31,26,-30,-2,-1,25,-29,-96,40,-38,-34,30,-33,-29,26,-28,22,16,-24,14,-22,13,-22,12,-22,12,-22,11,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100305,448.0,-12.0,448.5,455.5,447.0,201,-314,99,798,9,-289,70,-220,110,-100,41,-92,40,-50,32,-46,31,-40,85,-32,-1,-31,27,-31,26,-30,-2,-1,25,-55,-96,-322,-38,-139,8,-13,-29,26,-28,22,34,-24,14,-22,13,-22,12,-22,12,-22,11,-368,58,36,28,25,25,22,-44,21,20,19,-22,19,19,-21,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100308,454.0,6.0,455.5,462.0,450.0,201,-314,99,798,-3,-300,83,-244,154,-100,41,-92,40,-50,32,-46,47,-40,13,-32,-1,-31,27,-31,2,-30,-2,-28,25,-55,-50,-260,-38,-139,8,-13,-46,26,-28,22,34,-24,14,-22,13,-22,12,-22,12,-22,11,-368,58,36,28,25,25,22,-44,21,20,19,-22,19,19,-37,-19,66,-31,26,21,-20,21,-20,20,-18,15,15,-13,14,-12,13,13,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100309,439.0,-15.0,453.5,454.0,436.0,201,-314,1,762,31,-270,126,-244,154,-100,41,-62,40,-50,32,-46,47,-40,-33,-32,-1,-31,50,-31,2,-30,-2,-28,25,-55,-82,-350,-38,-175,8,-13,-46,26,-28,22,246,-24,14,-22,13,-22,116,-22,12,-22,11,-368,112,36,28,25,-108,22,-44,21,20,19,-52,19,19,-37,-19,86,8,26,21,-20,21,-20,20,-18,15,15,-13,14,-12,13,13,-11,-304,55,45,-80,-55,39,-40,-40,-33,22,20,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100310,443.0,4.0,448.0,449.5,442.5,201,-314,111,762,31,-208,126,-152,154,-100,41,-62,40,-50,32,-46,47,-40,-33,-32,-1,-31,36,-31,2,-30,-2,-1,25,-55,-270,-235,-38,-175,-32,23,-67,26,-28,42,246,-24,14,-42,13,-22,116,-22,12,-22,11,-331,112,36,28,25,-108,22,-44,40,20,19,-52,19,19,-37,-19,67,8,10,21,-20,21,-20,20,-18,15,15,-13,14,-12,13,35,-11,-304,55,26,-80,-55,39,-40,-40,-63,22,20,-28,-84,68,-30,41,-20,30,21,20,-12,-11,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100311,468.0,25.0,446.0,468.0,445.5,201,-244,195,849,31,-208,126,-81,154,-100,28,24,40,-50,32,-46,34,-40,55,-32,-1,-31,36,-31,2,-30,-2,-1,25,-72,-291,-120,-38,-175,-32,89,-67,99,-28,42,246,-24,14,-42,13,-22,-271,-22,12,-22,11,-292,112,36,6,25,-108,22,-44,40,20,19,-52,19,19,-37,-19,8,8,10,21,-20,21,-20,20,-18,15,-5,-13,14,-12,13,35,-11,-317,-7,26,-80,-55,39,-40,-40,-63,22,20,-28,-84,68,-30,41,-20,30,-5,20,-12,-11,-11,-20,-18,58,46,-16,44,-15,41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100312,475.5,7.5,480.0,494.0,470.5,201,-300,70,766,31,-208,177,-231,154,-100,28,-93,40,-50,32,-46,34,-40,-113,1,-1,-31,36,-31,2,-30,-2,-1,25,-72,-113,-363,-38,-341,-32,155,-67,99,-28,42,246,-24,14,-42,13,-22,-545,-22,50,-22,11,-292,112,36,6,25,-108,22,-44,40,20,19,-52,19,19,-37,-19,8,8,10,21,-20,21,-20,20,-18,15,-5,-13,14,-12,13,35,-11,-317,-7,26,-80,-55,39,-40,-40,-63,22,20,-28,-84,163,-30,41,-20,30,-49,20,-12,-11,-11,-20,-18,58,-6,-16,44,-15,-11,36,204,120,105,50,-92,-59,28,28,25,24,-45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100316,468.5,-1.0,473.0,473.5,466.0,201,-317,40,766,31,-286,177,-327,154,-100,-163,-107,40,-50,32,-46,34,-40,-101,1,-1,-31,36,-31,2,-30,-2,-27,25,-72,-113,-349,-38,-341,-20,97,27,99,-28,42,231,-24,14,-42,13,-22,-397,-22,50,-22,11,-258,112,36,6,25,-108,22,-44,40,20,19,-52,19,19,-37,-19,8,19,10,21,-20,21,-39,56,-18,15,-5,-13,14,-12,13,35,-27,-317,-7,26,-80,-55,39,-40,-40,-63,22,20,-15,-84,163,-30,41,-20,30,-49,20,-12,-11,-11,-20,-18,58,-6,-16,44,-15,-11,36,85,120,105,50,-92,-59,28,28,25,24,-25,23,-157,47,19,-51,16,14,12,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100317,472.0,3.5,471.5,479.5,468.5,201,-358,17,782,-24,-312,177,-473,154,-100,-176,-85,40,-50,32,-46,34,-40,-81,31,-1,-31,36,-31,2,-30,-2,-2,1,-72,-150,-509,-38,-341,122,97,-8,99,-28,42,231,-24,14,-42,33,-22,-397,-22,85,-22,11,-241,112,36,6,25,-132,22,-44,40,20,19,-52,19,19,-37,-19,8,19,10,21,-20,21,-39,56,-18,15,-5,-13,14,-12,13,35,-27,-317,-7,26,-80,-55,39,-40,-40,-92,22,20,-15,-84,163,-30,41,-20,30,-49,20,-12,-11,-11,-20,-18,58,-6,-16,44,-15,-11,36,85,120,105,98,-92,-59,28,28,25,24,-25,23,-291,47,19,-51,16,14,12,-14,31,21,-33,20,19,16,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
