券商名稱,買進張數,賣出張數,差額
00637L元大滬深300正2,304,3,301
AS2603長榮,263,106,157
AS2609陽明,245,118,127
00633L富邦上証正2,106,8,98
AS9946三發地產,93,0,93
00881國泰台灣5G+,113,30,83
AS2337旺宏,77,1,76
AS6026福邦證,70,0,70
AS2618長榮航,124,56,68
AS2887台新金,52,0,52
AS2317鴻海,66,15,51
AS4142國光生,51,1,50
AS1229聯華,50,2,48
AS3481群創,121,76,45
AS1305華夏,78,37,41
AS1447力鵬,40,0,40
AS3653健策,42,2,40
AS2615萬海,72,33,39
AS2330台積電,56,21,35
AS2884玉山金,36,2,34
AS2426鼎元,48,18,30
00677U期富邦VIX,27,0,27
AS2368金像電,41,16,25
AS2375凱美,28,3,25
AS2328廣宇,40,17,23
AS1312國喬,40,17,23
AS4934太極,26,5,21
AS2610華航,298,277,21
020021統一�琤肮鴔滆,20,0,20
AS2032新鋼,20,0,20
AS2344華邦電,65,45,20
AS2880華南金,20,0,20
AS2809京城銀,20,1,19
AS3178公準,29,11,18
AS8024佑華,15,0,15
AS2015豐興,14,0,14
00631L元大台灣50正2,13,0,13
AS1558伸興,13,0,13
AS9942茂順,14,1,13
AS2408南亞科,18,6,12
00882中信中國高股息,13,2,11
AS3260威剛,16,5,11
AS3276宇環,11,0,11
AS8069元太,19,8,11
00708L期元大S＆P黃金正2,10,0,10
AS1618合機,10,0,10
AS1722台肥,10,0,10
AS2355敬鵬,10,0,10
AS2455全新,20,10,10
AS3682亞太電,10,0,10
AS1309台達化,55,206,-151
AS2535達欣工,0,132,-132
AS6233旺玖,0,115,-115
00632R元大台灣50反1,8,103,-95
AS8099大世科,10,100,-90
AS8358金居,8,95,-87
AS1325恆大,40,123,-83
AS2601益航,4,85,-81
AS2888新光金,15,80,-65
AS2002中鋼,9,66,-57
AS2354鴻準,13,68,-55
AS3014聯陽,4,58,-54
AS1440南紡,0,50,-50
AS2409友達,147,194,-47
AS2883開發金,15,62,-47
AS1314中石化,33,77,-44
AS2327國巨,9,52,-43
AS2891中信金,4,46,-42
AS1909榮成,6,36,-30
AS0052富邦科技,0,28,-28
AS2882國泰金,6,33,-27
AS2034允強,6,33,-27
AS2886兆豐金,16,43,-27
AS5706鳳凰,0,26,-26
AS1326台化,4,26,-22
AS3005神基,0,22,-22
AS1604聲寶,0,20,-20
AS2881富邦金,13,32,-19
00852L國泰美國道瓊正2,0,19,-19
AS1210大成,2,20,-18
AS2515中工,0,17,-17
AS3576聯合再生,77,94,-17
AS4950牧東,0,16,-16
AS1409新纖,1,16,-15
AS2889國票金,0,15,-15
AS2014中鴻,61,75,-14
AS4956光鋐,0,14,-14
AS5876上海商銀,0,14,-14
AS6129普誠,2,14,-12
AS6651全宇昕,3,15,-12
AS8016矽創,0,12,-12
006208富邦台50,0,12,-12
AS1215卜蜂,1,12,-11
AS8183精星,1,12,-11
AS8935邦泰,1,12,-11
00692富邦公司治理,0,10,-10
00646元大S＆P500,0,10,-10
AS1522堤維西,0,10,-10
AS1532勤美,0,10,-10
AS2007燁興,0,10,-10
