買超券商,買進,賣出,買超,賣超券商,買進,賣出,賣超
群益金鼎-忠孝 ,58 ,0 ,+58 ,摩根大通 ,29 ,391 ,-362 
凱基-台北 ,101 ,47 ,+54 ,國泰證券 ,4 ,351 ,-347 
群益金鼎-竹南 ,53 ,1 ,+52 ,台灣摩根士丹利 ,11 ,166 ,-155 
富邦證券 ,50 ,14 ,+36 ,美林 ,59 ,190 ,-131 
日盛-員林 ,29 ,1 ,+28 ,凱基 ,8 ,113 ,-105 
第一金-高雄 ,28 ,3 ,+25 ,新加坡商瑞銀 ,0 ,73 ,-73 
富邦-台北 ,32 ,7 ,+25 ,瑞士信貸 ,14 ,58 ,-44 
永豐金-內湖 ,23 ,1 ,+22 ,富邦-左營 ,0 ,44 ,-44 
兆豐-竹北 ,23 ,2 ,+21 ,港商野村 ,24 ,58 ,-34 
台新證券 ,30 ,10 ,+20 ,永豐金-竹科 ,10 ,36 ,-26 
元大-新竹經國 ,26 ,6 ,+20 ,元大證券 ,34 ,58 ,-24 
中國信託-嘉義 ,21 ,2 ,+19 ,兆豐-中壢 ,1 ,23 ,-22 
元大-大益 ,20 ,1 ,+19 ,香港上海匯豐 ,0 ,22 ,-22 
元大-太平 ,19 ,0 ,+19 ,康和 ,5 ,26 ,-21 
合庫證券 ,18 ,0 ,+18 ,群益金鼎-海山 ,2 ,21 ,-19 
